x	y	z	xdot	ydot	zdot
1.0	1.0	-1.0	-0.0	28.0	3.66666666667
1.0135274091	1.27972982707	-0.962377681406	2.66202417973	28.0744337857	3.86338173973
1.05254448597	1.56391189976	-0.92257837506	5.11367413791	28.8783884888	4.10629584679
1.11539163905	1.8595260514	-0.880013373587	7.44134412354	30.3529994011	4.42080213989
1.20120683509	2.17308163305	-0.833834216708	9.71874797954	32.46231711	4.83387842205
1.30981535866	2.51082674779	-0.782904742314	12.0101138914	35.1894639505	5.37646541669
1.44164823951	2.8789228201	-0.725750159727	14.3727458059	38.5335043264	6.08572777457
1.59768362802	3.28359045766	-0.6604831198	16.8590682964	42.5067941939	7.00742703478
1.77940639694	3.73123023552	-0.584704727351	19.5182383858	47.1325762109	8.19858755581
1.98878192827	4.22851963189	-0.495376784048	22.3973770362	52.4425707555	9.73060818471
2.22824041891	4.78248467794	-0.388660123654	25.5424425903	58.4742752484	11.6929526586
2.50066810307	5.40054171301	-0.259712675717	28.9987360995	65.2676203769	14.1975295363
2.80940150907	6.09050067477	-0.102439954054	32.810991657	72.8605365408	17.3838349975
3.15822018653	6.86051625927	0.0908097521968	37.0229607275	81.282851771	21.4248616008
3.55133216688	7.71896667053	0.329612657309	41.6763450364	90.5477699697	26.533647546
3.99334464065	8.67423114334	0.625904123416	46.8088650269	100.639967918	32.9701167855
4.48920980455	9.73432665107	0.994480354798	52.4511684652	111.499116917	41.0474870299
5.04413240643	10.906351163	1.45355684167	58.6221875661	122.997423047	51.1369277596
5.66342108489	12.1956661106	2.02535584071	65.322450257	134.909681294	63.6682436865
6.35226018219	13.6047362822	2.73666674341	72.5247610004	146.874529633	79.1230465924
7.11537260515	15.1315354966	3.61927931558	80.1616289149	158.346376555	98.0151016386
7.95653837996	16.7674293334	4.71012601905	88.1089095347	168.53934686	120.850358974
8.87792962242	18.4944760658	6.05088342155	96.165464434	176.368236192	148.056967792
9.87922408906	20.2821655283	7.68667772268	104.029414392	180.397697243	179.874251005
